,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
0,1,Bitcoin,BTC,bitcoin,10247,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem']",21000000.0,19401912.0,19401912.0,False,,1,,,,2023-06-14T13:09:00.000Z,25998.436690799073,10594462711.319088,-20.6241,0.12206538,-0.38461761,-2.9186963,-5.08512973,-14.61889333,4.68333246,504419380812.45483,47.6191,545967170506.78,,2023-06-14T13:09:00.000Z,,,,,,2023-06-14 13:11:38.901917+00:00
1,1027,Ethereum,ETH,ethereum,7001,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1']",,120224090.53400297,120224090.53400297,True,,2,,,,2023-06-14T13:09:00.000Z,1744.5841397725646,4454750145.9007635,-30.4122,-0.07951469,0.1142273,-6.36733678,-4.4841804,-17.1869912,5.25823646,209741041564.2025,19.7953,209741041564.2,,2023-06-14T13:09:00.000Z,,,,,,2023-06-14 13:11:38.901917+00:00
2,825,Tether,USDT,tether,55524,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,83495780837.6679,87083529362.35023,True,,3,,,,2023-06-14T13:09:00.000Z,0.9998974393991839,17545022417.793785,-24.7395,0.00502627,-0.01213445,-0.04228541,-0.0472954,-0.10595571,-0.28323357,83487217460.21957,7.8815,87074598023.26,,2023-06-14T13:09:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2023-06-14 13:11:38.901917+00:00
3,1839,BNB,BNB,bnb,1459,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1']",,155854074.89646998,155854074.89646998,False,,4,,,,2023-06-14T13:09:00.000Z,248.38850402163814,749538271.6525551,-7.3846,-0.1139399,2.4700208,-8.51261384,-21.35038689,-25.5744788,-20.13829815,38712360509.210526,3.6546,38712360509.21,,2023-06-14T13:09:00.000Z,,,,,,2023-06-14 13:11:38.901917+00:00
4,3408,USD Coin,USDC,usd-coin,12974,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,28168184455.26352,28168184455.26352,False,,5,,,,2023-06-14T13:09:00.000Z,0.9998685627599234,2537406878.216197,-29.5884,-0.00027544,-0.01723699,-0.01900916,-0.01472692,-0.008907,0.01245646,28164482106.84075,2.6582,28164482106.84,,2023-06-14T13:09:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2023-06-14 13:11:38.901917+00:00
5,52,XRP,XRP,xrp,965,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio']",100000000000.0,51987017573.0,99988884267.0,False,,6,,,,2023-06-14T13:09:00.000Z,0.5063845026336846,1776978872.8592548,-17.3496,-0.47066665,-5.78234678,-4.20842639,18.87747447,-3.63882556,40.08038221,26325420037.11223,2.4852,50638450263.37,,2023-06-14T13:09:00.000Z,,,,,,2023-06-14 13:11:38.901917+00:00
6,2010,Cardano,ADA,cardano,838,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1']",45000000000.0,34914604762.638,35873953355.056,False,,7,,,,2023-06-14T13:09:00.000Z,0.2754762302386988,211410626.03196734,-38.1485,-0.04624038,-2.05763342,-18.23107431,-25.56511788,-39.53015565,-14.84024322,9618143700.285637,0.9078,12396430360.74,,2023-06-14T13:09:00.000Z,,,,,,2023-06-14 13:11:38.901917+00:00
7,74,Dogecoin,DOGE,dogecoin,728,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain']",,139763556383.7052,139763556383.7052,True,,8,,,,2023-06-14T13:09:00.000Z,0.06197274211271948,156152710.32984462,-20.6113,-0.04616812,0.1856999,-9.01297539,-14.79578887,-31.1638146,-11.73566955,8661530836.52389,0.8177,8661530836.52,,2023-06-14T13:09:00.000Z,,,,,,2023-06-14 13:11:38.901917+00:00
8,1958,TRON,TRX,tron,772,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem']",,90084644854.67737,90084752009.88228,True,,9,71659659264.0,5202876395.615356,,2023-06-14T13:09:00.000Z,0.07260537447502419,141025681.54175338,-17.9464,0.10265737,1.25409898,-6.60338398,3.19921267,9.9083921,10.45349439,6540629374.123411,0.6175,6540637154.17,,2023-06-14T13:09:00.000Z,,,,,,2023-06-14 13:11:38.901917+00:00
9,5426,Solana,SOL,solana,472,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio', 'layer-1']",,398976694.10934114,549928807.9473698,True,,10,,,,2023-06-14T13:09:00.000Z,15.208638722229399,241814477.75497553,-38.2425,0.05182671,-1.54593464,-23.41651145,-28.9719855,-37.92462047,-21.33064206,6067892399.2984,0.5728,8363668563.02,,2023-06-14T13:09:00.000Z,,,,,,2023-06-14 13:11:38.901917+00:00
